	time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type	horizontalError	depthError	magError	magNst	status	locationSource	magSource
45	1996-12-20T06:52:41.730Z	51.814	-176.258	67.6	4.7	mb				0.78	us	usp0007uqn	2014-11-07T01:01:48.402Z	Andreanof Islands, Aleutian Islands, Alaska	earthquake		4.8		36.0	reviewed	us	us
46	1996-12-20T06:11:38.670Z	-31.006	116.588	10.0	4.5	mb				0.55	us	usp0007uqj	2017-04-13T22:09:12.492Z	Western Australia	earthquake				1.0	reviewed	us	us
47	1996-12-20T05:22:45.530Z	36.346	71.529	150.0	4.5	mb				0.89	us	usp0007uqh	2014-11-07T01:01:48.393Z	Hindu Kush region, Afghanistan	earthquake				33.0	reviewed	us	us
48	1996-12-20T04:46:04.850Z	-2.284	149.196	33.0	4.5	mb				0.4	us	usp0007uqf	2014-11-07T01:01:48.390Z	New Ireland region, Papua New Guinea	earthquake				4.0	reviewed	us	us
49	1996-12-20T03:53:22.230Z	-5.288	35.828	10.0	5.2	mwc				1.11	us	usp0007uqd	2016-11-10T00:15:16.397Z	Tanzania	earthquake					reviewed	us	hrv
50	1996-12-20T00:18:12.840Z	29.359	51.39	33.0	4.6	mb				0.83	us	usp0007uq6	2014-11-07T01:01:48.354Z	southern Iran	earthquake				46.0	reviewed	us	us
51	1996-12-19T23:28:30.900Z	-22.41	-176.642	150.0	4.5	mb				0.83	us	usp0007uq2	2014-11-07T01:01:48.347Z	south of the Fiji Islands	earthquake				7.0	reviewed	us	us
52	1996-12-19T20:39:00.230Z	3.877	122.5	550.0	4.8	mb				0.89	us	usp0007upt	2014-11-07T01:01:48.324Z	Celebes Sea	earthquake				5.0	reviewed	us	us
53	1996-12-19T19:48:57.000Z	9.681	126.476	33.0	4.6	mb				0.78	us	usp0007upp	2014-11-07T01:01:48.314Z	Mindanao, Philippines	earthquake				9.0	reviewed	us	us
54	1996-12-19T19:28:40.200Z	18.304	146.441	100.0	4.5	mb				0.81	us	usp0007upn	2014-11-07T01:01:48.313Z	Pagan region, Northern Mariana Islands	earthquake				3.0	reviewed	us	us
55	1996-12-19T13:44:45.250Z	11.991	-88.899	33.0	4.5	mb				0.92	us	usp0007upa	2014-11-07T01:01:48.291Z	off the coast of Central America	earthquake				4.0	reviewed	us	us
56	1996-12-19T12:13:59.030Z	39.483	72.06	50.0	4.8	mb				0.86	us	usp0007up8	2014-11-07T01:01:48.285Z	Kyrgyzstan	earthquake				23.0	reviewed	us	us
57	1996-12-19T11:14:09.330Z	-8.199	121.541	193.0	5.0	mb				1.23	us	usp0007up4	2014-11-07T01:01:48.271Z	Flores region, Indonesia	earthquake		11.5		10.0	reviewed	us	us
58	1996-12-19T09:56:11.790Z	7.083	126.757	100.0	5.1	mb				0.94	us	usp0007up1	2014-11-07T01:01:48.260Z	Mindanao, Philippines	earthquake				27.0	reviewed	us	us
59	1996-12-19T07:52:30.280Z	-5.726	104.995	50.0	4.6	mb				0.62	us	usp0007unx	2014-11-07T01:01:48.251Z	southern Sumatra, Indonesia	earthquake				3.0	reviewed	us	us
60	1996-12-19T02:50:26.940Z	13.05	-89.955	33.0	5.5	mwc				1.07	us	usp0007unp	2016-11-10T00:14:48.842Z	offshore El Salvador	earthquake					reviewed	us	hrv
61	1996-12-18T21:02:36.210Z	14.183	-91.953	33.0	4.7	mb				0.7	us	usp0007unc	2014-11-07T01:01:48.178Z	offshore Guatemala	earthquake				1.0	reviewed	us	us
62	1996-12-18T20:31:59.490Z	-6.61	105.387	33.0	4.6	mb				1.17	us	usp0007unb	2014-11-07T01:01:48.175Z	Sunda Strait, Indonesia	earthquake				5.0	reviewed	us	us
63	1996-12-18T17:33:23.930Z	2.664	127.276	100.0	4.7	mb				1.08	us	usp0007un6	2014-11-07T01:01:48.148Z	Molucca Sea	earthquake				12.0	reviewed	us	us
64	1996-12-18T11:20:26.580Z	22.796	121.425	58.5	4.5	mb				1.05	us	usp0007un0	2014-11-07T01:01:48.136Z	Taiwan region	earthquake				13.0	reviewed	us	us
65	1996-12-18T10:12:27.480Z	-25.12	-70.683	32.5	5.5	mwc				1.07	us	usp0007umx	2020-01-03T21:37:51.948Z	near the coast of Antofagasta, Chile	earthquake					reviewed	us	hrv
66	1996-12-18T07:10:36.140Z	12.775	-89.133	25.3	4.6	mb				1.47	us	usp0007ump	2014-11-07T01:01:48.029Z	offshore El Salvador	earthquake				10.0	reviewed	us	us
67	1996-12-17T23:18:33.940Z	0.951	-29.682	10.0	4.5	mb				0.89	us	usp0007ume	2014-11-07T01:01:47.991Z	central Mid-Atlantic Ridge	earthquake				4.0	reviewed	us	us
68	1996-12-17T22:40:54.020Z	-18.182	-178.036	550.0	5.4	mb				1.13	us	usp0007umd	2014-11-07T01:01:47.982Z	Fiji region	earthquake				23.0	reviewed	us	us
69	1996-12-17T22:26:43.320Z	-18.434	-174.302	150.0	4.9	mb				0.81	us	usp0007umc	2014-11-07T01:01:47.976Z	Tonga	earthquake				20.0	reviewed	us	us
70	1996-12-17T21:59:35.030Z	-8.508	112.568	71.5	4.8	mb				1.41	us	usp0007um9	2014-11-07T01:01:47.962Z	Java, Indonesia	earthquake				17.0	reviewed	us	us
71	1996-12-17T20:20:33.370Z	12.473	-88.923	33.0	5.6	mwc				1.35	us	usp0007um7	2016-11-10T00:13:45.053Z	offshore El Salvador	earthquake					reviewed	us	hrv
72	1996-12-17T20:05:49.120Z	-7.336	145.88	199.1	5.0	mb				0.97	us	usp0007um6	2014-11-07T01:01:47.945Z	near the south coast of New Guinea, Papua New Guinea	earthquake		4.2		18.0	reviewed	us	us
73	1996-12-17T19:54:37.450Z	-20.376	-177.915	500.0	4.7	mb				1.28	us	usp0007um5	2014-11-07T01:01:47.943Z	Fiji region	earthquake				5.0	reviewed	us	us
74	1996-12-17T17:12:22.350Z	12.638	-88.862	33.0	4.8	mb				1.29	us	usp0007ukx	2014-11-07T01:01:47.924Z	offshore El Salvador	earthquake				17.0	reviewed	us	us
75	1996-12-17T16:24:27.000Z	36.606	71.511	175.8	4.8	mb				0.91	us	usp0007ukv	2014-11-07T01:01:47.902Z	Hindu Kush region, Afghanistan	earthquake				74.0	reviewed	us	us
76	1996-12-17T10:30:01.730Z	12.624	-88.885	33.0	4.8	mb				1.12	us	usp0007ukb	2014-11-07T01:01:47.869Z	offshore El Salvador	earthquake				23.0	reviewed	us	us
77	1996-12-17T09:25:36.240Z	-19.617	-173.429	150.0	4.5	mb				0.44	us	usp0007uk8	2014-11-07T01:01:47.863Z	Tonga	earthquake				6.0	reviewed	us	us
78	1996-12-17T08:40:12.580Z	-17.732	-178.778	550.0	4.6	mb				0.8	us	usp0007uk5	2014-11-07T01:01:47.854Z	Fiji region	earthquake				11.0	reviewed	us	us
79	1996-12-17T07:32:53.890Z	-0.427	-80.871	33.0	4.6	mb				1.13	us	usp0007uk3	2014-11-07T01:01:47.849Z	near the coast of Ecuador	earthquake				8.0	reviewed	us	us
80	1996-12-17T07:17:29.100Z	14.4	-91.499	64.4	4.5	mb				1.17	us	usp0007uk2	2014-11-07T01:01:47.845Z	Guatemala	earthquake				9.0	reviewed	us	us
81	1996-12-17T05:12:05.360Z	-4.536	152.067	167.3	5.0	mb				0.69	us	usp0007ujv	2014-11-07T01:01:47.821Z	New Britain region, Papua New Guinea	earthquake		7.9		9.0	reviewed	us	us
82	1996-12-16T23:18:16.590Z	-7.89	128.988	33.0	4.9	mb				1.24	us	usp0007ujp	2014-11-07T01:01:47.804Z	Kepulauan Barat Daya, Indonesia	earthquake				12.0	reviewed	us	us
83	1996-12-16T22:12:23.130Z	-5.428	151.349	103.8	4.7	mb				1.15	us	usp0007ujk	2014-11-07T01:01:47.798Z	New Britain region, Papua New Guinea	earthquake		13.8		8.0	reviewed	us	us
84	1996-12-16T19:59:15.700Z	-20.818	-178.571	600.0	4.5	mb				0.99	us	usp0007ujd	2014-11-07T01:01:47.782Z	Fiji region	earthquake				2.0	reviewed	us	us
85	1996-12-16T18:52:57.200Z	-23.385	-179.745	500.0	4.6	mb				0.98	us	usp0007uj9	2014-11-07T01:01:47.767Z	south of the Fiji Islands	earthquake				25.0	reviewed	us	us
86	1996-12-16T17:12:23.900Z	-18.764	168.418	33.0	4.7	mb				1.48	us	usp0007uj5	2014-11-07T01:01:47.756Z	Vanuatu	earthquake				7.0	reviewed	us	us
87	1996-12-16T17:01:05.000Z	-18.884	-179.316	600.0	4.9	mb				1.35	us	usp0007uj4	2014-11-07T01:01:47.739Z	Fiji region	earthquake				41.0	reviewed	us	us
88	1996-12-16T12:33:08.990Z	25.442	124.141	145.3	4.7	mb				0.81	us	usp0007uhz	2014-11-07T01:01:47.726Z	northeast of Taiwan	earthquake				22.0	reviewed	us	us
89	1996-12-16T11:04:57.300Z	-3.075	136.902	33.0	4.5	mb				1.15	us	usp0007uhv	2014-11-07T01:01:47.708Z	Papua, Indonesia	earthquake				4.0	reviewed	us	us
90	1996-12-16T07:00:12.690Z	42.748	78.229	22.7	4.9	mb				0.93	us	usp0007uhr	2014-11-07T01:01:47.687Z	Kyrgyzstan	earthquake				7.0	reviewed	us	us
91	1996-12-16T06:59:50.510Z	42.743	78.155	23.5	4.5	mb				0.7	us	usp0007uhq	2014-11-07T01:01:47.681Z	Kyrgyzstan	earthquake				26.0	reviewed	us	us
92	1996-12-16T02:28:16.900Z	-11.085	165.317	33.0	5.5	mwc				1.42	us	usp0007uhe	2016-11-10T00:13:09.881Z	Santa Cruz Islands	earthquake					reviewed	us	hrv
93	1996-12-16T01:46:38.320Z	-0.236	-80.727	33.0	5.5	mwc				1.02	us	usp0007uha	2020-01-03T21:37:38.863Z	near the coast of Ecuador	earthquake					reviewed	us	hrv
94	1996-12-15T23:30:11.380Z	-0.237	-80.684	33.0	4.7	mb				1.28	us	usp0007uh6	2014-11-07T01:01:47.617Z	near the coast of Ecuador	earthquake				9.0	reviewed	us	us
95	1996-12-15T23:13:20.000Z	-40.22	178.543	46.6	4.8	mb				1.09	us	usp0007uh5	2014-11-07T01:01:47.613Z	off the east coast of the North Island of New Zealand	earthquake				5.0	reviewed	us	us
96	1996-12-15T20:58:09.430Z	23.5	94.029	71.4	4.5	mb				0.81	us	usp0007uh2	2014-11-07T01:01:47.588Z	Myanmar	earthquake				26.0	reviewed	us	us
97	1996-12-15T20:31:52.420Z	43.794	150.242	33.0	4.7	mb				1.4	us	usp0007uh0	2014-11-07T01:01:47.421Z	east of the Kuril Islands	earthquake				35.0	reviewed	us	us
98	1996-12-15T19:05:37.780Z	41.292	142.569	33.0	4.5	mb				1.01	us	usp0007ugy	2014-11-07T01:01:47.353Z	Hokkaido, Japan region	earthquake				1.0	reviewed	us	us
99	1996-12-15T18:22:48.380Z	-18.165	168.089	33.0	4.8	mb				1.19	us	usp0007ugw	2014-11-07T01:01:47.337Z	Vanuatu	earthquake				22.0	reviewed	us	us
100	1996-12-15T17:58:06.330Z	46.981	151.908	33.0	4.9	mb				0.92	us	usp0007ugv	2014-11-07T01:01:47.258Z	Kuril Islands	earthquake				74.0	reviewed	us	us
101	1996-12-15T15:41:00.380Z	3.781	-32.002	10.0	5.5	mwc				1.24	us	usp0007ugn	2016-11-10T00:12:47.138Z	central Mid-Atlantic Ridge	earthquake					reviewed	us	hrv
102	1996-12-15T15:38:48.750Z	-24.437	-176.454	33.0	4.9	mb				1.2	us	usp0007ugm	2014-11-07T01:01:47.226Z	south of the Fiji Islands	earthquake				16.0	reviewed	us	us
103	1996-12-15T14:12:10.420Z	0.828	-29.591	10.0	4.7	mb				0.75	us	usp0007ugj	2014-11-07T01:01:47.217Z	central Mid-Atlantic Ridge	earthquake				22.0	reviewed	us	us
104	1996-12-15T12:24:08.410Z	-48.842	106.088	10.0	4.5	mb				1.51	us	usp0007ugf	2014-11-07T01:01:47.209Z	southeast Indian Ridge	earthquake				1.0	reviewed	us	us
105	1996-12-15T11:18:07.290Z	-49.161	106.042	10.0	4.7	mb				1.17	us	usp0007ug9	2014-11-07T01:01:47.201Z	southeast Indian Ridge	earthquake				2.0	reviewed	us	us
106	1996-12-15T10:28:32.130Z	36.627	26.882	154.2	4.5	mb				1.05	us	usp0007ug3	2014-11-07T01:01:47.184Z	Dodecanese Islands, Greece	earthquake		6.0		49.0	reviewed	us	us
107	1996-12-15T03:01:57.370Z	36.981	-33.117	10.0	4.7	mb				1.01	us	usp0007ufr	2014-11-07T01:01:47.140Z	Azores Islands region	earthquake				2.0	reviewed	us	us
108	1996-12-14T23:25:40.330Z	-2.677	-77.728	33.0	4.6	mb				1.0	us	usp0007ufh	2014-11-07T01:01:47.124Z	Peru-Ecuador border region	earthquake				4.0	reviewed	us	us
109	1996-12-14T22:18:18.430Z	-5.474	-79.828	95.9	4.7	mb				0.98	us	usp0007uff	2014-11-07T01:01:47.119Z	northern Peru	earthquake				4.0	reviewed	us	us
110	1996-12-14T21:15:35.530Z	12.727	-88.789	33.0	5.7	mwc				1.26	us	usp0007ufc	2016-11-10T00:12:29.958Z	offshore El Salvador	earthquake					reviewed	us	hrv
111	1996-12-14T19:49:51.300Z	28.454	49.63	10.0	4.5	mb				0.94	us	usp0007uf9	2014-11-07T01:01:47.090Z	Persian Gulf	earthquake				12.0	reviewed	us	us
112	1996-12-14T18:14:02.600Z	15.22	-94.252	33.0	4.5	mb				1.01	us	usp0007uf6	2014-11-07T01:01:47.082Z	offshore Chiapas, Mexico	earthquake				17.0	reviewed	us	us
113	1996-12-14T18:05:20.680Z	-0.036	124.117	83.2	5.0	mwc				1.12	us	usp0007uf5	2016-11-10T00:12:29.460Z	Molucca Sea	earthquake		2.8			reviewed	us	hrv
114	1996-12-14T16:43:52.700Z	56.65	-155.943	53.1	4.6	mb				0.72	us	usp0007uez	2014-11-07T01:01:47.063Z	Alaska Peninsula	earthquake		6.2		2.0	reviewed	us	us
115	1996-12-14T16:25:53.690Z	10.123	126.157	33.0	5.6	mwc				1.06	us	usp0007uey	2020-01-03T21:37:25.660Z	Philippine Islands region	earthquake					reviewed	us	hrv
116	1996-12-14T15:39:03.310Z	-4.179	135.294	33.0	4.7	mb				1.3	us	usp0007uew	2014-11-07T01:01:47.024Z	near the south coast of Papua, Indonesia	earthquake				5.0	reviewed	us	us
117	1996-12-14T14:15:29.390Z	-27.603	65.772	10.0	4.9	mb				1.29	us	usp0007ues	2014-11-07T01:01:47.012Z	Indian Ocean Triple Junction	earthquake				3.0	reviewed	us	us
118	1996-12-14T13:02:16.090Z	-5.385	146.798	241.5	4.5	mb				0.81	us	usp0007uen	2014-11-07T01:01:47.002Z	eastern New Guinea region, Papua New Guinea	earthquake				11.0	reviewed	us	us
119	1996-12-14T11:20:20.210Z	-5.384	154.036	150.0	4.7	mb				0.56	us	usp0007ueh	2014-11-07T01:01:46.993Z	Bougainville region, Papua New Guinea	earthquake				1.0	reviewed	us	us
120	1996-12-14T10:59:46.620Z	-5.308	154.531	100.0	4.6	mb				0.4	us	usp0007uec	2014-11-07T01:01:46.987Z	Bougainville region, Papua New Guinea	earthquake				1.0	reviewed	us	us
121	1996-12-14T10:27:37.450Z	-7.311	128.572	100.0	4.5	mb				1.01	us	usp0007uea	2014-11-07T01:01:46.982Z	Kepulauan Barat Daya, Indonesia	earthquake				6.0	reviewed	us	us
122	1996-12-14T10:10:51.420Z	-52.332	17.304	10.0	4.7	mb				1.25	us	usp0007ue9	2014-11-07T01:01:46.980Z	southwest of Africa	earthquake				2.0	reviewed	us	us
123	1996-12-14T09:50:38.970Z	12.734	-44.732	10.0	4.8	mb				0.85	us	usp0007ue7	2014-11-07T01:01:46.974Z	northern Mid-Atlantic Ridge	earthquake				27.0	reviewed	us	us
124	1996-12-14T09:48:23.970Z	-41.362	-75.288	10.0	5.0	mb				1.16	us	usp0007ue6	2014-11-07T01:01:46.970Z	off the coast of Los Lagos, Chile	earthquake				8.0	reviewed	us	us
125	1996-12-14T02:10:27.490Z	-6.277	105.768	100.0	4.6	mb				1.38	us	usp0007udv	2014-11-07T01:01:46.944Z	Sunda Strait, Indonesia	earthquake				9.0	reviewed	us	us
126	1996-12-14T01:11:07.030Z	-32.877	-69.751	100.0	4.5	mb				1.38	us	usp0007udu	2014-11-07T01:01:46.942Z	Mendoza, Argentina	earthquake				2.0	reviewed	us	us
127	1996-12-14T00:18:44.920Z	37.812	13.84	40.3	4.7	mb				1.24	us	usp0007udn	2014-11-07T01:01:46.930Z	Sicily, Italy	earthquake		13.9		2.0	reviewed	us	us
128	1996-12-13T23:46:29.950Z	15.99	-95.294	33.0	4.7	mb				0.76	us	usp0007udk	2014-11-07T01:01:46.923Z	offshore Oaxaca, Mexico	earthquake				24.0	reviewed	us	us
129	1996-12-13T22:01:33.650Z	28.563	-43.624	10.0	4.7	mb				0.78	us	usp0007udd	2014-11-07T01:01:46.906Z	northern Mid-Atlantic Ridge	earthquake				4.0	reviewed	us	us
130	1996-12-13T20:33:50.650Z	-6.2	105.574	55.3	5.1	mwc				1.47	us	usp0007udb	2016-11-10T00:11:59.390Z	Sunda Strait, Indonesia	earthquake		14.2			reviewed	us	hrv
131	1996-12-13T20:30:58.330Z	-1.868	138.494	33.0	4.8	mb				1.31	us	usp0007uda	2014-11-07T01:01:46.886Z	near the north coast of Papua, Indonesia	earthquake				12.0	reviewed	us	us
132	1996-12-13T20:28:50.640Z	48.477	154.255	33.0	4.7	mb				0.72	us	usp0007ud9	2014-11-07T01:01:46.881Z	Kuril Islands	earthquake				24.0	reviewed	us	us
133	1996-12-13T19:06:19.010Z	7.186	126.776	33.0	4.7	mb				0.95	us	usp0007ud7	2014-11-07T01:01:46.875Z	Mindanao, Philippines	earthquake				8.0	reviewed	us	us
134	1996-12-13T16:01:26.920Z	-6.067	130.662	112.1	4.8	mb				1.02	us	usp0007ucz	2014-11-07T01:01:46.845Z	Banda Sea	earthquake		8.8		15.0	reviewed	us	us
135	1996-12-13T14:39:46.040Z	9.718	126.569	33.0	4.6	mb				1.31	us	usp0007ucw	2014-11-07T01:01:46.840Z	Mindanao, Philippines	earthquake				4.0	reviewed	us	us
136	1996-12-13T12:47:42.580Z	15.073	147.53	33.0	4.5	mb				1.1	us	usp0007ucq	2014-11-07T01:01:46.825Z	Mariana Islands region	earthquake				8.0	reviewed	us	us
137	1996-12-13T12:35:24.500Z	-56.267	-27.056	114.4	5.2	mb				0.87	us	usp0007ucp	2014-11-07T01:01:46.819Z	South Sandwich Islands region	earthquake				14.0	reviewed	us	us
138	1996-12-13T12:22:50.040Z	15.39	145.498	160.3	4.8	mb				0.97	us	usp0007ucm	2014-11-07T01:01:46.814Z	Saipan region, Northern Mariana Islands	earthquake		6.6		15.0	reviewed	us	us
